result_name,description
信号待ちの達人,赤信号を一生待つことができる、無駄な忍耐力の持ち主です。
記憶のシュレッダー,都合の悪いことは0.1秒で忘却する、最強のメンタルバグ。
概念のひったくり,他人のアイデンティティを盗み、自分のものだと言い張る詐欺師。
土下座のオーバークロック,謝罪の角度が深すぎて、そのまま地面に埋まっている変人。
透明人間のふりをした全裸,自分は見えないと思い込んでいる、一番救いようのない露出狂。
宇宙のゴミ箱,あらゆる不条理を吸い込み、異臭として放出する選ばれし者です。
診断不能手遅れ,あなたの脳内メーカーを起動した結果、エラーで爆発しました。
次元の迷子,あなたは自分の居場所を間違えて、この世に生まれてきたバグそのものです。
納豆の意志,あなたの前世は納豆であり、現世でも粘り強すぎて周囲に異臭を放っています。
歩く未確認飛行物体,あなたは重力に従うことを拒否し、常に地上1センチで浮いている精神の持ち主です。
マヨネーズ教・教祖,全ての事象をマヨネーズで解決できると信じている、救いようのない調理器具です。
シュールレアリスムの具現化,あなたの存在自体がダリの絵画より理解不能で、見る人の視力を奪います。
ドブネズミの王,あなたは都会の闇に紛れ、チーズの代わりにコンクリートを齧って生きる適性があります。
宇宙からの亡命者,地球の常識が通用しないため、速やかに火星に帰還することをお勧めします。
全自動謝罪マシン,あなたは息を吸うようにごめんなさいと言いながら、全く反省していない精密機械です。
鼻毛の錬金術師,無意味なものから無意味なものを生み出す、天才的な無能の才能を持っています。
絶望のチョココロネ,人生のどちらが尻尾でどちらが頭か分からなくなり、中身のチョコだけ吸い取られています。
キーボードの破壊神,タイピングの衝撃で地球の裏側に地震を引き起こす、極めて危険な指先をしています。
鏡の中の居候,鏡の中の自分と入れ替わっても、誰も気づかないほど存在感が反転しています。
給料泥棒プロフェッショナル,仕事をするフリをして、体内で綿菓子を作ることに全力を注いでいます。
人類補完計画の失敗作,人類が一つになる過程で、なぜかジャガイモとして分離してしまった個体です。
エターナル・遅刻魔,あなたの時計だけが、常に昨日を指しているため、一生社会には追いつけません。
物理法則の反逆者,あなたが通った後は、リンゴが空に向かって落ち、水は上に向かって流れます。
おならのソムリエ,空気の振動だけで、隣の人が昨日何を食べたかを当てる、呪われた嗅覚の持ち主です。
履歴書が白紙の勇者,特技がまばたきしかないのに、魔王を倒せると勘違いしているポジティブモンスターです。
バケツの守護霊,カフェでバケツ一杯のコーヒーを飲まないと死ぬ、特異な代謝システムを持っています。
自動ドアに見捨てられた者,センサーがあなたを人間として認識せず、永遠に建物に入れない呪いにかかっています。
般若心経ラッパー,神聖なものを全てビートに乗せて台無しにする、罰当たりな音楽的才能の持ち主です。
石油王の幻覚,自分が石油王だと思い込み、近所の公園で砂を掘り続けている悲しい資産家です。
タイムマシンの燃料,あなたの無駄な行動こそが、歴史を改変するためのエネルギー源として重宝されます。
コンポタ味の救世主,全財産をうまい棒に換えても、笑顔でいられる圧倒的な経済観念の欠如者です。
サンタの影武者偽,子供に夢を与える代わりに、現実的な税金の仕組みを教え込む不審者です。
語尾の終末論者,ピョを付けないと死ぬ呪いを、新しい言語体系として確立させた異端児です。
ダム建設の狂信者,砂場で見せるその執念を、少しでも仕事に活かせば世界を救えたはずの人材です。
死神の専属スタイリスト,死神をオシャレにすることに命をかけ、自分の寿命を削って服を作っています。
教科書の美食家,知識を頭ではなく胃袋で理解しようとする、極めて非効率的な学習者です。
適性検査の終着点,この検査を最後まで受けたあなたは、もう二度とまともな社会には戻れません。
社会不適合の神,あなたは社会という概念を破壊し、新たなカオスを創造する救世主です。
歩く産業廃棄物,存在すること自体がコンプライアンス違反であり、歩くたびに訴訟のリスクを撒き散らしています。
窓際マッドサイエンティスト,誰も見ていないところで、クリップと付箋から小型爆弾を作っているタイプです。
エクセルを食べた獣,もはや言語を忘れ、計算式とセル結合でしか意思疎通ができない野生動物です。
社長の生霊,社長が好きすぎて、あるいは憎すぎて、自分が社長だと思い込んでいる危険人物です。
終末のシュレッダー係,この世のすべてを細断することに喜びを感じる、終わりの始まりを告げる者です。
納豆の化身,粘り強さを履き違え、全社員の人間関係をベトベトに汚染するスペシャリストです。
2D世界の亡命者,現実逃避が極まりすぎて、体が紙一枚の厚さになってしまった哀れな存在です。
給湯室の魔女,ポットの中身を謎の液体に変え、社員の胃袋から会社を支配しようとしています。
概念としての残業代,実体を持たず、しかし確実に社員の精神を蝕み続ける呪いの化身です。
キーボードの毛根,細かいことが気になりすぎて、最終的に無機物に生命を見出すタイプです。
異次元からの内定者,通勤手段がテレポートや夢であり、現実の業務には一切関与しません。
土下座の幾何学者,謝罪の角度に命をかけすぎて、本来の目的を完全に見失ったプロ謝罪師です。
どんぐり経済圏の覇者,現代通貨を信じず、木の実だけで帝国の再建を目論む原始のビジネスマンです。
会議室の守護霊,会議室に住み着き、非効率な議題を出す社員の背後にそっと忍び寄ります。
印鑑の暴君,権力を誇示するために、判子を物理的な武器として振り回す野蛮人です。
透明人間自称,裸で街を歩き、自分が見えていないと思い込んでいるただの変質者です。
履歴書グルメ,他人の人生書類の味を確認し、その才能を咀嚼して捨てる美食家です。
光合成の奴隷,働くことをやめ、太陽光だけで生きる決意をした植物以下の何かです。
電話越しのASMR職人,業務連絡よりも、自分の吐息や咀嚼音を相手に届けることに命をかけています。
プレゼン資料の破壊神,真実を隠すために、グラフを芸術的な抽象画に変えてしまう天才です。
オフィスビルの寄生虫,ビルの配管や壁の隙間に住み、社員の弁当を盗んで生きながらえる怪人です。
愛の過剰積載者,社内メールに愛を込めすぎて、サーバーと一緒に同僚の心もパンクさせます。
虚無のCEO,何も決断せず、ただ座っているだけで周囲のやる気を吸い取るブラックホールです。
三輪車の暴走族,どんなに制限されても、幼児用の乗り物で限界に挑む不屈の精神バカです。
文字化けの預言者,あなたが書く書類は誰にも読めませんが、1000年後には聖典となります。
スクワット発電機,脳の代わりに筋肉でPCを動かす、原始的かつ体育会系の極致です。
墓石の隣人,死後の世界と現世の区別がつかず、デスクでお通夜を始める不吉な人です。
ギャル文字の伝道師,ビジネスの厳格さを、絶滅したはずのギャル文化で中和するテロリストです。
適性検査の終着駅,この検査を最後まで受けた時点で、あなたの人間としての適性はゼロです。
